date,word,definition
2026-09-08,SHAKE,To move rapidly back and forth or up and down to mix and aerate contents.
2026-09-09,AMARO,A traditional bittersweet herbal liqueur infused with botanicals and roots.
2026-09-10,TWIST,A strip of citrus peel rubbed and expressed over a drink to impart oils.
2026-09-11,AGAVE,A succulent plant cultivated primarily for fermenting and distilling spirits.
2026-09-12,SMASH,A vintage drink style featuring muddled fresh herbs and cracked ice.
2026-09-13,RINSE,A tiny coating of aromatic liquid washed around an empty chilled glass.
2026-09-14,JULEP,A tall drink served over crushed ice and garnished with fresh mint sprigs.
2026-09-15,FLUTE,A tall and narrow stemmed glass created to sustain effervescence.
2026-09-16,FROTH,A soft and airy foam generated through vigorous shaking and aeration.
2026-09-17,CLOVE,An aromatic dried flower bud with a sharp warm herbal flavor profile.
2026-09-18,STILL,An apparatus used to vaporize and condense liquids during distillation.
2026-09-19,GRAIN,Cereal crops such as barley and corn mashed and fermented for spirits.
2026-09-20,LEMON,A tart yellow citrus fruit providing primary acidity in mixed drinks.
2026-09-21,CASKS,Wooden oak barrels used to mature spirits and extract vanilla tannins.
2026-09-22,CIDER,A fermented alcoholic beverage made from the pressed juice of apples.
2026-09-23,SUGAR,A crystalline sucrose sweetener used to balance spirit strength and acid.
2026-09-24,PROOF,A traditional scale defining the ethanol concentration of an alcohol wash.
2026-09-25,BASIL,An aromatic culinary herb used to introduce peppery sweetness to drinks.
2026-09-26,PEELS,Expressed citrus rinds imparting fragrant aromatic oils without sour juice.
2026-09-27,CLEAR,Dense ice frozen unidirectionally to eliminate trapped air and cloudiness.
2026-09-28,YEAST,Microscopic single-celled fungi that convert simple sugars into alcohol.
2026-09-29,WATER,The fundamental diluent in mixed drinks that tempers ethanol heat.
2026-09-30,HONEY,A thick sweet viscous floral liquid produced by bees from flower nectar.
2026-10-01,VODKA,A clear distilled spirit celebrated for its neutral profile and versatility.
2026-10-02,SLING,A historic tall mixed drink combining spirits with water sugar and spice.
2026-10-03,COUPE,A broad stemmed glass originally designed to serve champagne and shaken drinks.
2026-10-04,SYRUP,A concentrated solution of sugar and water used to balance cocktail acidity.
2026-10-05,PISCO,A fragrant South American grape brandy produced in Peru and Chile.
2026-10-06,BUILD,A technique of assembling ingredients directly inside the serving glass.
2026-10-07,ANISE,A pungent licorice botanical essential to absinthe pastis and sambuca.
2026-10-08,ROCKS,A lowball tumbler glass used for spirits served neat or over ice.
2026-10-09,BATCH,A premeasured blend of cocktail ingredients mixed in advance for fast service.
2026-10-10,JUICE,The fresh extracted liquid of fruits that provides essential cocktail acidity.
2026-10-11,THROW,A graceful pouring technique that rolls liquid between tins to aerate gently.
2026-10-12,OLIVE,A savory cured green fruit that serves as the iconic garnish for Martinis.
2026-10-13,STOUT,A very dark roasted ale featuring rich flavors of espresso and chocolate.
2026-10-14,FLOAT,A layer of spirit or liqueur poured gently atop a drink using a spoon.
2026-10-15,TODDY,A comforting warm cocktail prepared with hot water honey spices and liquor.
2026-10-16,HERBS,Aromatic botanical leaves used to muddle flavor and garnish mixed drinks.
2026-10-17,CUBES,Solid square pieces of ice used for balanced chilling and controlled dilution.
2026-10-18,DAISY,A classic vintage cocktail family combining spirit citrus and orange liqueur.
2026-10-19,SALTS,Mineral crystals applied to glass rims to soften bitterness and elevate fruit notes.
2026-10-20,SPOON,A long spiraled bar tool used for smooth stirring layering and measuring.
2026-10-21,SHRUB,A sweetened fruit syrup preserved with vinegar that imparts tangy acidity.
2026-10-22,CHILL,To lower the temperature of glassware or liquid prior to service.
2026-10-23,ONION,A pickled cocktail pearl garnish that transforms a dry Martini into a Gibson.
2026-10-24,PUNCH,An early communal party drink blending spirit citrus sugar water and spices.
2026-10-25,STAVE,An individual shaped wooden plank used to construct spirit aging casks.
2026-10-26,TONIC,A carbonated quinine mixer created historically to guard against tropical fevers.
2026-10-27,BLEND,To puree liquids and ice together rapidly using an electric bar blender.
2026-10-28,THYME,An earthy woody herb used to create savory botanical syrups and drink aromas.
2026-10-29,DRAFT,Beer or carbonated cocktails served directly from a pressurised keg system.
2026-10-30,BRINE,Seasoned salty liquid from olive or pickle jars used in Dirty Martinis.
2026-10-31,FLAME,To ignite expressed citrus oils over a glass to caramelize fragrant aromas.
2026-11-01,MALTS,Germinated and kiln dried barley grains supplying fermentable sugars for whisky.
2026-11-02,CRUSH,A refreshing fruit drink made by pressing citrus over freshly cracked ice.
2026-11-03,CREAM,Rich dairy added to cocktails to produce luscious texture and velvety body.
2026-11-04,FROST,A delicate layer of ice crystals that coats a deeply chilled cocktail glass.
2026-11-05,WHEAT,A cereal grain providing soft mellow sweetness in wheated whiskeys and vodkas.
2026-11-06,SOURS,A foundational drink category pairing spirit with tart citrus and simple syrup.
2026-11-07,KNIFE,A precision edged tool used by bartenders to carve citrus twists and clear ice.
2026-11-08,CACAO,Fermented tropical seeds that yield the chocolate base for dark liqueurs.
2026-11-09,PEATY,The smoky earthy profile imparted to Scotch whisky dried over burning bog moss.
2026-11-10,RAILS,A metal storage trough holding high volume well spirits for immediate pouring.
2026-11-11,BERRY,Fleshy small fruits like raspberries and blackberries muddled into drinks.
2026-11-12,FLASK,A pocket sized curved vessel designed for carrying spirits discreetly.
2026-11-13,CORNS,Maize grains that legally must comprise at least fifty-one percent of bourbon.
2026-11-14,SWEET,A fundamental taste profile delivered by sugars liqueurs and fortified wines.
2026-11-15,BLOCK,A dense rectangular unit of crystal ice hand carved into bespoke drink cubes.
2026-11-16,SPICE,Piquant aromatic plant material lending heat and seasoning to mixed drinks.
2026-11-17,LAGER,A clean crisp beer fermented slowly at cool temperatures using bottom yeasts.
2026-11-18,TONGS,Hygienic hinged bar tools used to place ice cubes and garnishes into drinks.
2026-11-19,PORTS,Rich fortified Portuguese wines aged in oak with profound dark fruit depth.
2026-11-20,CHARS,Fire toasted surfaces inside oak barrels that impart color and vanillin notes.
2026-11-21,FOAMS,Velvety emulsions created by shaking egg white or aquafaba into cocktails.
2026-11-22,LIMES,Tart green citrus fruits whose bright acids define Margaritas and Daiquiris.
2026-11-23,SMOKY,A savory wood or peat character found in mezcal and Islay single malts.
2026-11-24,PICKS,Slender cocktail skewers used to anchor olives cherries and citrus wheels.
2026-11-25,AGING,The slow maturation of distilled spirits inside wooden barrels over many years.
2026-11-26,IRISH,Renowned whiskey crafted in Ireland celebrated for smooth triple distillation.
2026-11-27,SPRIG,A small leafy shoot of mint or rosemary used as a fragrant cocktail garnish.
2026-11-28,CHIPS,Petite shattered pieces of ice that melt quickly to produce rapid dilution.
2026-11-29,AROMA,The pleasant bouquet of volatile scents detected by the nose before sipping.
2026-11-30,FLIPS,A vintage drink class made by vigorously shaking spirit sugar and a whole egg.
2026-12-01,HEART,The coveted middle cut of a distillation run containing the purest ethanol.
2026-12-02,CRISP,A bright and lively drink quality marked by fresh acidity and effervescence.
2026-12-03,STEIN,A sturdy traditional earthenware or glass mug crafted for drinking beer.
2026-12-04,PEACH,Sweet orchard fruit whose fresh puree forms the heart of the classic Bellini.
2026-12-05,HEADS,The initial volatile foreshots collected from a still containing harsh esters.
2026-12-06,SPEED,A friction fit pour spout inserted into bottles for fast and accurate pouring.
2026-12-07,COCOA,Roasted chocolate powder dusted over dessert cocktails and egg white foams.
2026-12-08,TAILS,The concluding oily cut of distillation rich in heavy fusel alcohols.
2026-12-09,PRESS,A highball variation topping spirit with equal portions of soda and ginger ale.
2026-12-10,MANGO,A rich tropical stone fruit used to add velvety body and nectar to tiki drinks.
2026-12-11,SHARD,A long spear of crystal clear ice hand cut to fit neatly in highball glasses.
2026-12-12,CHILI,Piquant capsicum pepper infused into spirits to introduce fiery warmth.
2026-12-13,MEADS,Ancient fermented alcoholic beverages created by blending honey water and yeast.
2026-12-14,LINEN,A neat fabric coaster or bar mat used to present upscale drinks cleanly.
2026-12-15,PINOT,An adaptable wine grape family known for elegant reds and refreshing whites.
2026-12-16,BOOZY,Forward spirit character with minimal sweetness dilution or masking mixers.
2026-12-17,APPLE,Crisp autumn fruit distilled into Calvados or fermented into hard cider.
2026-12-18,GUEST,The patron at the bar whose hospitality experience is the bartender priority.
2026-12-19,PLUMS,Stone fruits distilled into Balkan slivovitz or infused in Japanese umeshu.
2026-12-20,RIOJA,A celebrated Spanish wine region known for oak aged red Tempranillo blends.
2026-12-21,SMOKE,Dense aromatic vapors introduced beneath a cloche to season drink glassware.
2026-12-22,DAIRY,Milk and cream products used to soften sharp spirit bites and add creaminess.
2026-12-23,MELON,Sweet aromatic fruit essence that gives green Midori its unmistakable profile.
2026-12-24,SALTY,A savory mineral flavor that subdues bitter compounds and sharpens fruit notes.
2026-12-25,GRAPE,The quintessential fermented fruit whose juices yield table wines and brandies.
2026-12-26,SHOTS,Concentrated single measures of spirits consumed swiftly in a single gulp.
2026-12-27,SYRAH,A dark skinned grape delivering bold red wines packed with pepper and blackberry.
2026-12-28,FLAIR,The entertaining art of manipulating bar tools and bottles with acrobatics.
2026-12-29,SPILL,Liquid overflow caught by perforated drip trays to preserve bar sanitation.
2026-12-30,ROUND,A complete set of drinks ordered at one time for everyone in a social party.
2026-12-31,CRAFT,A bartending philosophy celebrating artisanal ingredients and precise technique.
